SPEAKER,TEXT
HOLT,"Mr. Trump, you can respond and we're going to move on to the next segment."
HOLT,"Our next segment is called ""Securing America."" We want to start with a 21st century war happening every day in this country. Our institutions are under cyber attack, and our secrets are being stolen. So my question is, who's behind it? And how do we fight it? Secretary Clinton, this answer goes to you."
HOLT,Your two minutes have expired.
HOLT,"Mr. Trump, you have two minutes and the same question. Who's behind it? And how do we fight it?"
HOLT,Secretary Clinton?
HOLT,"You mention ISIS, and we think of ISIS certainly as over there, but there are American citizens who have been inspired to commit acts of terror on American soil, the latest incident, of course, the bombings we just saw in New York and New Jersey, the knife attack at a mall in Minnesota, in the last year, deadly attacks in San Bernardino and Orlando. I'll ask this to both of you. Tell us specifically how you would prevent homegrown attacks by American citizens, Mr. Trump?"
HOLT,Secretary Clinton?
HOLT,Mr. Trump...
HOLT,Please respond.
HOLT,"Mr. Trump, a lot of these are judgment questions. You had supported the war in Iraq before the invasion. What makes your..."
HOLT,In 2002...
HOLT,"My question is, since you supported it..."
HOLT,... why is your - why is your judgment...
HOLT,"The record shows otherwise, but why - why was..."
HOLT,Why was - is your judgment any...
HOLT,Why is your judgment better than...
HOLT,"My reference was to what you had said in 2002, and my question was..."
HOLT,Why is your judgment - why is your judgment any different than Mrs. Clinton's judgment?
HOLT,Secretary Clinton?
HOLT,Secretary Clinton?
HOLT,We need to move on.
HOLT,Our last...
HOLT,"Which leads to my next question, as we enter our last segment here (inaudible) the subject of securing America. On nuclear weapons, President Obama reportedly considered changing the nation's longstanding policy on first use. Do you support the current policy? Mr. Trump, you have two minutes on that."
HOLT,Your two minutes is expired.
HOLT,"All right. Mrs. Clinton, Secretary Clinton, you have two minutes."
HOLT,Your two minutes is...
HOLT,... is expired.
HOLT,Very quickly. Twenty seconds.
HOLT,Mr. Trump...
HOLT,We have just...
HOLT,We have just a few final questions...
HOLT,"Mr. Trump, this year Secretary Clinton became the first woman nominated for president by a major party. Earlier this month, you said she doesn't have, quote, ""a presidential look."" She's standing here right now. What did you mean by that?"
HOLT,"The quote was, ""I just don't think she has the presidential look."""
HOLT,Let's let her respond.
HOLT,We are at - we are at the final question.
HOLT,"Very quickly, because we're at the final question now."
HOLT,"Mr. Trump, could we just take 10 seconds and then we ask the final question..."
HOLT,Please very quickly.
HOLT,We have to move on to the final question.
HOLT,"One of you will not win this election. So my final question to you tonight, are you willing to accept the outcome as the will of the voters? Secretary Clinton?"
HOLT,"Mr. Trump, very quickly, same question. Will you accept the outcome as the will of the voters?"
HOLT,Will you accept the outcome of the election?
HOLT,"All right. Well, that is going to do it for us. That concludes our debate for this evening, a spirit one. We covered a lot of ground, not everything as I suspected we would. The next presidential debates are scheduled for October 9th at Washington University in St. Louis and October 19th at the University of Nevada Las Vegas. The conversation will continue. A reminder. The vice presidential debate is scheduled for October 4th at Longwood University in Farmville, Virginia. My thanks to Hillary Clinton and to Donald Trump and to Hofstra University for hosting us tonight. Good night, everyone."
